"Sample","Site","Type","Initial","Treatment","Soil","Net","Replicate","Subreplicate","MDS1","MDS2"
"2-sox-3","2","environmental","no","Soil (environmental)",TRUE,FALSE,"3",NA,1.48958355718151,-0.51005852510958
"2-sx-11","2","experimental","no","Soil only",TRUE,FALSE,"1","1",0.344968616933112,0.301309293000078
"2-sx-12","2","experimental","no","Soil only",TRUE,FALSE,"1","2",0.146009810788902,0.174781638925115
"2-sx-13","2","experimental","no","Soil only",TRUE,FALSE,"1","3",0.185106272095994,0.0614125829596191
"2-sx-21","2","experimental","no","Soil only",TRUE,FALSE,"2","1",0.301455710638258,0.0991279823373888
"2-sx-22","2","experimental","no","Soil only",TRUE,FALSE,"2","2",0.243221053330527,0.137824409764155
"2-sx-31","2","experimental","no","Soil only",TRUE,FALSE,"3","1",0.554036958768956,0.337701901901389
"2-sx-32","2","experimental","no","Soil only",TRUE,FALSE,"3","2",0.312569709475555,0.172485231691139
"2-sx-33","2","experimental","no","Soil only",TRUE,FALSE,"3","3",0.356673698449237,0.24245592019934
"2-t-1","2","environmental","no","Top (environmental)",FALSE,FALSE,"1",NA,-1.49969627160103,-0.714936774508557
"2-t-2","2","environmental","no","Top (environmental)",FALSE,FALSE,"2",NA,-1.45667744610864,-0.633749124046292
"2-tx-1","2","environmental","no","Top (environmental)",FALSE,FALSE,"1",NA,-0.923052631368819,-0.52935021405064
"2-tx-2","2","environmental","no","Top (environmental)",FALSE,FALSE,"2",NA,-0.916509185891672,-0.582546704693014
"2-tx-3","2","environmental","no","Top (environmental)",FALSE,FALSE,"3",NA,-0.873609939555245,-0.449841215761729
"2-xn-11","2","experimental","no","Net only",FALSE,TRUE,"1","1",0.404460964316516,-0.018342194332258
"2-xn-12","2","experimental","no","Net only",FALSE,TRUE,"1","2",0.397408352722653,0.0017345016090249
"2-xn-21","2","experimental","no","Net only",FALSE,TRUE,"2","1",0.444493637243175,0.308003574404736
"2-xn-22","2","experimental","no","Net only",FALSE,TRUE,"2","2",0.419703778881321,0.368487771302281
"2-xn-23","2","experimental","no","Net only",FALSE,TRUE,"2","3",0.282032329947233,0.0989295607803412
"2-xn-31","2","experimental","no","Net only",FALSE,TRUE,"3","1",0.305612858850452,0.00411034440805989
"2-xn-32","2","experimental","no","Net only",FALSE,TRUE,"3","2",0.373513487017124,0.0688252588749656
"2-xn-33","2","experimental","no","Net only",FALSE,TRUE,"3","3",0.390475880561037,0.124876745202631
"2-xx-12","2","experimental","no","No additions",FALSE,FALSE,"1","2",-0.151009869574321,0.35833203243222
"2-xx-13","2","experimental","no","No additions",FALSE,FALSE,"1","3",0.128529800103527,0.73243652810697
"2-xx-21","2","experimental","no","No additions",FALSE,FALSE,"2","1",0.291388409448833,0.877513817543452
"2-xx-22","2","experimental","no","No additions",FALSE,FALSE,"2","2",0.24589488497075,0.707655477400073
"2-xx-23","2","experimental","no","No additions",FALSE,FALSE,"2","3",0.271045642878431,0.844537187071406
"2-xx-31","2","experimental","no","No additions",FALSE,FALSE,"3","1",0.0905402745774239,0.586180911830712
"2-xx-32","2","experimental","no","No additions",FALSE,FALSE,"3","2",-0.571316848185717,-0.370141885567143
"2-xx-33","2","experimental","no","No additions",FALSE,FALSE,"3","3",-0.0954594607133689,0.419828980690538
"3-b-1","3","environmental","no","Bottom (environmental)",FALSE,FALSE,"1",NA,-1.08054733710557,0.212456582268928
"3-b-2","3","environmental","no","Bottom (environmental)",FALSE,FALSE,"2",NA,-0.966306534373421,0.0929138390297849
"3-b-3","3","environmental","no","Bottom (environmental)",FALSE,FALSE,"3",NA,-1.00819530297115,0.235405632680791
"3-bx-1","3","environmental","yes","Bottom (environmental)",FALSE,FALSE,"1",NA,-0.652037551760444,-0.126329110189864
"3-bx-2","3","environmental","yes","Bottom (environmental)",FALSE,FALSE,"2",NA,-0.69057374480278,0.0318995670331491
"3-bx-3","3","environmental","yes","Bottom (environmental)",FALSE,FALSE,"3",NA,-0.781196436631932,-0.0113000313317774
"3-sn-11","3","experimental","no","Soil & Net",TRUE,TRUE,"1","1",-0.24255431084602,0.444014885614993
"3-sn-12","3","experimental","no","Soil & Net",TRUE,TRUE,"1","2",0.0770482205591524,0.977662751935936
"3-sn-13","3","experimental","no","Soil & Net",TRUE,TRUE,"1","3",0.108118378178682,0.970945751962043
"3-sn-21","3","experimental","no","Soil & Net",TRUE,TRUE,"2","1",0.273643412019696,0.458522124343379
"3-sn-23","3","experimental","no","Soil & Net",TRUE,TRUE,"2","3",0.285951745053736,0.308333815079686
"3-sn-31","3","experimental","no","Soil & Net",TRUE,TRUE,"3","1",0.0910851597800089,0.414651704452564
"3-sn-32","3","experimental","no","Soil & Net",TRUE,TRUE,"3","2",0.259930096347379,-0.0241030187248047
"3-sn-33","3","experimental","no","Soil & Net",TRUE,TRUE,"3","3",0.166674411095403,0.313900621423229
"3-so-1","3","environmental","no","Soil (environmental)",TRUE,FALSE,"1",NA,1.95570500783456,-1.15946840542234
"3-so-2","3","environmental","no","Soil (environmental)",TRUE,FALSE,"2",NA,1.96368571079638,-1.04160084669317
"3-so-3","3","environmental","no","Soil (environmental)",TRUE,FALSE,"3",NA,2.03722809895704,-1.04064127036386
"3-sox-1","3","environmental","no","Soil (environmental)",TRUE,FALSE,"1",NA,1.44619154345071,-1.03522317404892
"3-sox-2","3","environmental","no","Soil (environmental)",TRUE,FALSE,"2",NA,1.72539499387679,-1.16747355698904
"3-sox-3","3","environmental","no","Soil (environmental)",TRUE,FALSE,"3",NA,1.82011209611433,-1.13703054908862
"3-sx-11","3","experimental","no","Soil only",TRUE,FALSE,"1","1",0.385829905340156,0.398979003190608
"3-sx-12","3","experimental","no","Soil only",TRUE,FALSE,"1","2",0.500426769715357,0.738160806884622
"3-sx-13","3","experimental","no","Soil only",TRUE,FALSE,"1","3",0.989031397258883,0.7559590172032
"3-sx-21","3","experimental","no","Soil only",TRUE,FALSE,"2","1",0.0636392579914716,0.46205754627113
"3-sx-22","3","experimental","no","Soil only",TRUE,FALSE,"2","2",0.164171378010214,0.408860379998328
"3-sx-23","3","experimental","no","Soil only",TRUE,FALSE,"2","3",0.295617535472056,0.626447805132523
"3-sx-31","3","experimental","no","Soil only",TRUE,FALSE,"3","1",0.563686794331073,0.625585782948979
"3-sx-32","3","experimental","no","Soil only",TRUE,FALSE,"3","2",0.0374394460222252,0.572232083957181
"3-sx-33","3","experimental","no","Soil only",TRUE,FALSE,"3","3",0.640812711663414,0.992433731446095
"3-t-1","3","environmental","no","Top (environmental)",FALSE,FALSE,"1",NA,-1.18543193708999,-1.06194464122497
"3-t-2","3","environmental","no","Top (environmental)",FALSE,FALSE,"2",NA,-1.21092347871038,-1.17069787416843
"3-t-3","3","environmental","no","Top (environmental)",FALSE,FALSE,"3",NA,-1.67899181601925,-0.661505505416764
"3-tx-1","3","environmental","no","Top (environmental)",FALSE,FALSE,"1",NA,-0.986332148941179,-0.83429018097623
"3-tx-3","3","environmental","no","Top (environmental)",FALSE,FALSE,"3",NA,-1.70266491799795,-1.10030174215792
"3-xn-11","3","experimental","no","Net only",FALSE,TRUE,"1","1",-0.297742598903344,0.460178642572295
"3-xn-12","3","experimental","no","Net only",FALSE,TRUE,"1","2",-0.310112782869439,0.436728645752187
"3-xn-13","3","experimental","no","Net only",FALSE,TRUE,"1","3",-0.339237514148434,0.506795241992724
"3-xn-21","3","experimental","no","Net only",FALSE,TRUE,"2","1",0.270865283001634,1.38446671897227
"3-xn-22","3","experimental","no","Net only",FALSE,TRUE,"2","2",-0.0450910433671966,0.489377432567252
"3-xn-23","3","experimental","no","Net only",FALSE,TRUE,"2","3",-0.0216270963573531,0.435759463044195
"3-xn-31","3","experimental","no","Net only",FALSE,TRUE,"3","1",-0.00351872395432574,0.388132098813464
